,City,State,State name,County,lat,lng,Population,Density,county_lng,county_lat
0,New York,NY,New York,New York,40.6943,-73.9249,18713220,10715.0,-73.970174,40.776557000000004
1,Manhattan,NY,New York,New York,40.7834,-73.9662,1628706,27545.0,-73.970174,40.776557000000004
2,Los Angeles,CA,California,Los Angeles,34.1139,-118.4068,12750807,3276.0,-118.26186200000001,34.196397999999995
3,Long Beach,CA,California,Los Angeles,33.7981,-118.1675,462628,3523.0,-118.26186200000001,34.196397999999995
4,Lancaster,CA,California,Los Angeles,34.6935,-118.1753,343304,645.0,-118.26186200000001,34.196397999999995
5,Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,312446,1162.0,-118.26186200000001,34.196397999999995
6,Glendale,CA,California,Los Angeles,34.1818,-118.2468,199303,2525.0,-118.26186200000001,34.196397999999995
7,Palmdale,CA,California,Los Angeles,34.5944,-118.1057,155079,564.0,-118.26186200000001,34.196397999999995
8,Pomona,CA,California,Los Angeles,34.0585,-117.7626,151691,2548.0,-118.26186200000001,34.196397999999995
9,Torrance,CA,California,Los Angeles,33.8346,-118.3417,143592,2701.0,-118.26186200000001,34.196397999999995
10,Pasadena,CA,California,Los Angeles,34.1597,-118.139,141029,2371.0,-118.26186200000001,34.196397999999995
11,East Los Angeles,CA,California,Los Angeles,34.0326,-118.1691,119827,6212.0,-118.26186200000001,34.196397999999995
12,El Monte,CA,California,Los Angeles,34.0739,-118.0291,115487,4663.0,-118.26186200000001,34.196397999999995
13,Downey,CA,California,Los Angeles,33.9379,-118.1312,111126,3457.0,-118.26186200000001,34.196397999999995
14,Inglewood,CA,California,Los Angeles,33.9566,-118.3444,108151,4604.0,-118.26186200000001,34.196397999999995
15,West Covina,CA,California,Los Angeles,34.0555,-117.9112,105101,2529.0,-118.26186200000001,34.196397999999995
16,Norwalk,CA,California,Los Angeles,33.9069,-118.0829,103949,4133.0,-118.26186200000001,34.196397999999995
17,Burbank,CA,California,Los Angeles,34.1879,-118.3235,102511,2285.0,-118.26186200000001,34.196397999999995
18,Compton,CA,California,Los Angeles,33.893,-118.2275,95605,3680.0,-118.26186200000001,34.196397999999995
19,South Gate,CA,California,Los Angeles,33.9448,-118.1926,93444,4985.0,-118.26186200000001,34.196397999999995
20,Carson,CA,California,Los Angeles,33.8374,-118.2559,91394,1883.0,-118.26186200000001,34.196397999999995
21,Santa Monica,CA,California,Los Angeles,34.0232,-118.4813,90401,4147.0,-118.26186200000001,34.196397999999995
22,Hawthorne,CA,California,Los Angeles,33.9146,-118.3476,86068,5463.0,-118.26186200000001,34.196397999999995
23,Whittier,CA,California,Los Angeles,33.9678,-118.0188,85098,2242.0,-118.26186200000001,34.196397999999995
24,Alhambra,CA,California,Los Angeles,34.084,-118.1355,83750,4237.0,-118.26186200000001,34.196397999999995
25,Lakewood,CA,California,Los Angeles,33.8471,-118.1221,79307,3253.0,-118.26186200000001,34.196397999999995
26,Bellflower,CA,California,Los Angeles,33.888,-118.1271,76435,4822.0,-118.26186200000001,34.196397999999995
27,Baldwin Park,CA,California,Los Angeles,34.0829,-117.9721,75251,4381.0,-118.26186200000001,34.196397999999995
28,Lynwood,CA,California,Los Angeles,33.924,-118.2017,69887,5575.0,-118.26186200000001,34.196397999999995
29,Redondo Beach,CA,California,Los Angeles,33.8574,-118.3766,66749,4158.0,-118.26186200000001,34.196397999999995
30,Florence-Graham,CA,California,Los Angeles,33.9682,-118.2447,64162,7059.0,-118.26186200000001,34.196397999999995
31,Pico Rivera,CA,California,Los Angeles,33.9902,-118.0888,62027,2887.0,-118.26186200000001,34.196397999999995
32,Montebello,CA,California,Los Angeles,34.0155,-118.1108,61954,2870.0,-118.26186200000001,34.196397999999995
33,South Whittier,CA,California,Los Angeles,33.9336,-118.0311,60096,4347.0,-118.26186200000001,34.196397999999995
34,Monterey Park,CA,California,Los Angeles,34.0497,-118.1326,59669,3002.0,-118.26186200000001,34.196397999999995
35,Gardena,CA,California,Los Angeles,33.8944,-118.3073,59329,3929.0,-118.26186200000001,34.196397999999995
36,Arcadia,CA,California,Los Angeles,34.1342,-118.0373,57939,2047.0,-118.26186200000001,34.196397999999995
